0,1,2,3,4,5,6,7
2022-2024,ACEH,"68,26","68,42","68,52","72,16","72,35","72,45"
2022-2024,Simeulue,"63,52","63,72","63,84","67,36","67,59","67,71"
2022-2024,Aceh Singkil,"65,56","65,84","65,94","69,54","69,82","69,93"
2022-2024,Aceh Selatan,"62,68","62,94","63,10","66,51","66,78","66,94"
2022-2024,Aceh Tenggara,"66,39","66,71","66,84","70,42","70,69","70,81"
2022-2024,Aceh Timur,"66,92","67,14","67,25","70,86","71,10","71,21"
2022-2024,Aceh Tengah,"66,95","67,25","67,36","70,98","71,21","71,32"
2022-2024,Aceh Barat,"66,13","66,40","66,54","70,14","70,38","70,52"
2022-2024,Aceh Besar,"67,96","68,22","68,37","71,90","72,16","72,31"
2022-2024,Pidie,"65,12","65,36","65,48","69,06","69,32","69,44"
2022-2024,Bireuen,"69,45","69,72","69,88","73,37","73,70","73,87"
2022-2024,Aceh Utara,"66,94","67,21","67,35","70,94","71,18","71,30"
2022-2024,Aceh Barat Daya,"63,31","63,60","63,76","67,18","67,46","67,63"
2022-2024,Gayo Lues,"63,76","64,02","64,13","67,65","67,91","68,02"
2022-2024,Aceh Tamiang,"67,78","68,12","68,29","71,79","72,06","72,22"
2022-2024,Nagan Raya,"67,43","67,68","67,82","71,39","71,63","71,77"
2022-2024,Aceh Jaya,"65,37","65,62","65,75","69,31","69,59","69,73"
2022-2024,Bener Meriah,"67,49","67,71","67,87","71,39","71,66","71,81"
2022-2024,Pidie Jaya,"68,43","68,68","68,85","72,31","72,61","72,79"
2022-2024,Kota Banda Aceh,"69,81","70,07","70,22","73,65","74,07","74,22"
2022-2024,Kota Sabang,"68,75","69,05","69,24","72,71","73,00","73,20"
2022-2024,Kota Langsa,"67,59","67,85","68,00","71,56","71,80","71,94"
2022-2024,Kota Lhokseumawe,"69,93","70,11","70,29","73,76","74,11","74,30"
2022-2024,Kota Subulussalam,"62,35","62,54","62,65","66,16","66,37","66,47"
2022-2024,SUMATERA UTARA,"67,66","68,06","68,36","71,60","72,00","72,30"
2022-2024,Nias,"68,01","68,42","68,60","72,00","72,35","72,53"
2022-2024,Mandailing Natal,"61,07","61,62","61,80","64,88","65,42","65,60"
2022-2024,Tapanuli Selatan,"63,30","63,67","63,85","67,13","67,54","67,72"
2022-2024,Tapanuli Tengah,"65,44","65,95","66,24","69,52","69,94","70,23"
2022-2024,Tapanuli Utara,"67,01","67,64","67,85","71,11","71,59","71,79"
2022-2024,Toba Samosir / Toba,"68,54","69,31","69,48","72,69","73,27","73,45"
2022-2024,Labuhan Batu,"68,32","68,85","69,06","72,35","72,79","73,01"
2022-2024,Asahan,"66,63","67,15","67,34","70,72","71,12","71,30"
2022-2024,Simalungun,"69,66","70,25","70,43","73,69","74,26","74,44"
2022-2024,Dairi,"67,58","68,18","68,35","71,53","72,12","72,29"
2022-2024,Karo,"69,85","70,32","70,48","73,91","74,33","74,49"
2022-2024,Deli Serdang,"70,17","70,35","70,52","73,96","74,36","74,54"
2022-2024,Langkat,"67,34","67,71","67,98","71,33","71,66","71,92"
2022-2024,Nias Selatan,"67,15","67,65","67,87","71,11","71,60","71,82"
2022-2024,Humbang Hasundutan,"67,83","68,35","68,58","71,94","72,29","72,51"
2022-2024,Pakpak Bharat,"64,27","64,98","65,31","68,34","68,91","69,26"
2022-2024,Samosir,"69,67","70,28","70,45","73,72","74,29","74,46"
2022-2024,Serdang Bedagai,"67,23","67,66","67,90","71,15","71,62","71,85"
